Lead Variant	P-value	Beta	Odds Ratio	95% Confidence Interval	Credible Set Size	LD Set Size	L2G	Closest Gene	Colocalisation
1_154839924_G_C	1.5800000000000003e-30		1.1664908867784396	(1.1, 1.2)	8	23	KCNN3	KCNN3	KCNN3
1_154873058_G_C	6e-32		1.168826203089869	(1.1, 1.2)	2	6		KCNN3	DCST2
1_170213105_A_G	1.84e-13		1.1502737988572274	(1.1, 1.2)	9	14		METTL11B	
1_170224684_G_C	6.06e-31		1.3271051618171572	(1.3, 1.4)	1	1	METTL11B	METTL11B	
1_170663243_A_G	3e-14		1.1297541017803188	(1.1, 1.2)	31	4	PRRX1	PRRX1	Z97200.1
1_203059583_C_G	1.07e-10		0.9227471736875432	(0.90, 0.95)	10	30	PPFIA4	MYOG	PPFIA4, ADORA1
2_65141156_A_G	8.720000000000001e-11		1.0930806563263302	(1.1, 1.1)	12	122		RAB1A	
2_174648092_G_A	1.04e-10		1.0835037467556794	(1.1, 1.1)	7	8	WIPF1	WIPF1	WIPF1
2_178651047_A_G	7.059999999999999e-12		1.1241194296905368	(1.1, 1.2)	36	89		PLEKHA3	
2_200306468_C_G	1.3400000000000001e-12		1.0936273333123507	(1.1, 1.1)	5	92	SPATS2L	SPATS2L	SPATS2L
3_12800305_A_G	3e-10		1.0853472696756643	(1.1, 1.1)	10	117	CAND2	CAND2	
3_38725184_A_G	1.32e-8		1.0743329958152494	(1.0, 1.1)	18	33		SCN5A	
3_111952947_G_A	1.22e-10		0.8824969025845955	(0.85, 0.92)	40	84		ABHD10	
4_110663263_C_T	5.440000000000001e-33		1.2044222603776298	(1.2, 1.2)	39	75	PITX2	PITX2	
4_110763487_C_T	2.09e-138		1.7211626125301187	(1.6, 1.8)	73	151	PITX2	PITX2	
4_110796911_G_A	4.34e-161		0.6440364210831414	(0.62, 0.66)	23	116	PITX2	PITX2	
4_110801653_G_A	2.3900000000000002e-9		0.7182051690405703	(0.64, 0.80)	3	0	PITX2	PITX2	
4_110841700_G_A	4.0499999999999996e-49		0.8097740668812763	(0.79, 0.83)	2	5	PITX2	PITX2	
4_110941992_T_C	2.1000000000000002e-14		0.9003245225862656	(0.88, 0.92)	2	46		PITX2	
5_137912251_T_C	6.0000000000000005e-15		1.1096004549155825	(1.1, 1.1)	27	99		PKD2L2	
5_173223521_C_T	9.71e-10		0.9246869788348132	(0.90, 0.95)	17	41	NKX2-5	NKX2-5	
6_16415520_G_A	5.530000000000002e-13		0.8798533791446438	(0.85, 0.91)	6	11	ATXN1	GMPR	
6_18359343_A_T	2.08e-10		1.095597635252077	(1.1, 1.1)	21	58	RNF144B	RNF144B	RNF144B
6_149077964_G_T	1.36e-13		1.1735108709918105	(1.1, 1.2)	1	2		TAB2	
7_14334089_C_T	2.04e-9		1.087628893808826	(1.1, 1.1)	4	12	DGKB	ETV1	
7_116551247_C_A	8.649999999999998e-28		1.1479755502741786	(1.1, 1.2)	4	54	CAV1	CAV1	
8_123528377_C_T	3.96e-9		1.2177440407059084	(1.1, 1.3)	29	0	FBXO32	FBXO32	
9_94951177_C_A	3.7999999999999996e-14		1.099548894738701	(1.1, 1.1)	32	96	C9orf3	C9orf3	C9orf3
10_63621980_A_G	7.400000000000002e-9		1.074440434486675	(1.0, 1.1)	112	168		JMJD1C	
10_101806203_G_C	1.2800000000000001e-9		0.9244096143479162	(0.90, 0.95)	47	37		OGA	
10_103571190_T_A	5.87e-22		1.177036689688467	(1.1, 1.2)	3	19	NEURL1	NEURL1	NEURL1
10_103738307_T_C	8.08e-17		1.1308844209474893	(1.1, 1.2)	13	26	SH3PXD2A	SH3PXD2A	
11_19984346_G_T	9.77e-10		0.916127254344654	(0.89, 0.94)	20	53		DBX1	
11_128898062_T_C	1.75e-12		1.1758602413209998	(1.1, 1.2)	8	9	KCNJ5	KCNJ5	C11orf45
12_24626557_G_T	6.69e-13		0.8895851931634113	(0.86, 0.92)	12	18	SOX5	SOX5	
12_32835973_C_T	2.1800000000000002e-11		1.128624912367344	(1.1, 1.2)	5	14	PKP2	PKP2	
12_114355435_C_T	1.85e-19		1.1354170177814864	(1.1, 1.2)	11	44	TBX5	TBX5	
14_23392602_A_G	2.42e-13		1.0983400559377203	(1.1, 1.1)	2	8	MYH6	MYH6	
14_32453874_T_C	3.5099999999999997e-8		1.0846962566373008	(1.1, 1.1)	18	31	AKAP6	AKAP6	
14_32521231_T_C	6.240000000000002e-9		1.085021714330505	(1.1, 1.1)	4	12	AKAP6	AKAP6	AKAP6
14_34704569_C_T	5.76e-9		1.1073834717279334	(1.1, 1.1)	33	40	CFL2	CFL2	CFL2
14_64213242_A_G	1.0000000000000003e-14		0.9086457270424116	(0.89, 0.93)	8	80	ESR2, SYNE2	ESR2	ESR2
15_73375705_T_C	3.0000000000000002e-15		1.1241194296905368	(1.1, 1.2)	6	20	HCN4	HCN4	
16_1953015_G_A	5.450000000000002e-9		1.2165269053343162	(1.1, 1.3)	2	0		RPL3L	MLST8, PGP
16_73014468_C_T	7.589999999999997e-40		1.2485713778642835	(1.2, 1.3)	4	52	ZFHX3	PMFBP1	
17_39624043_A_T	4e-8		0.927001588338254	(0.90, 0.95)	291	409		PPP1R1B	STARD3
22_18100501_T_C	1.98e-8		1.0812307763417437	(1.1, 1.1)	15	32	PEX26	TUBA8	PEX26
