CYP1A1	7.190262
HMOX1	5.430381
GDF15	4.4636126
C2CD4A	3.8406343
SLC7A11	3.8030548
DUSP5	3.6547842
HBEGF	3.6501942
EID3	3.5942202
LINC00304	3.1866884
AC132872.4	3.1454058
AL121758.1	3.145011
SRXN1	3.145011
EGR3	3.0970802
PTGS2	3.0904274
AKR1B10	2.9400368
MAFF	2.828928
PMAIP1	2.7845182
ATF3	2.750183
FOS	2.6659174
RASD1	2.6278315
FBXO30	2.5834599
DDIT3	2.5775585
AC022506.1	2.5775585
ZFAND2A	2.5414515
NMRAL2P	2.513238
DUSP6	2.5079107
MXD1	2.4835758
GPAT3	2.4598427
RPTN	2.383501
CYP1B1	2.3568716
AREG	2.3561125
CXCL8	2.2597399
IL1A	2.25776
ZSCAN31	2.1670933
PNLIPRP3	2.1237307
EREG	2.1236944
SLC3A2	2.0956793
IER3	2.0943556
SHISA2	2.0932178
OCA2	2.089034
IFNE	2.0854092
PLCXD2	2.0574107
MAFG	2.0348358
NAMPT	1.9772758
EGR1	1.9696922
OSGIN1	1.9485378
DNAJB4	1.9401245
DUSP4	1.9311666
ZBED2	1.9248486
AKIRIN2	1.9051247
IRS2	1.8876333
IL1RN	1.8805227
TIPARP	1.8662262
CABYR	1.8367624
SFN	1.8268223
RIT1	1.8042774
CYP4F3	1.7873554
TRIB3	1.7871914
MIR22HG	1.7775583
PRAG1	1.7706852
ZNF165	1.7592926
PPP1R15A	1.7563353
DUSP2	1.7278004
LRP8	1.713397
SLC7A5	1.6984568
BACH1	1.6961098
MYC	1.691205
PLAU	1.6829453
TXNRD1	1.6757631
NPC1	1.6756601
FBXW10	1.6751842
IFRD1	1.6730633
CBR3	1.6718521
GCLM	1.6144094
AC027237.1	1.6108932
HSPA1B	1.6062756
BICD1	1.6044359
LIF	1.6024094
SIK1	1.6000328
SIK1B	1.6000328
UNKL	1.5996971
FOSL1	1.5937519
AKR1C1	1.5887136
GJB2	1.5849466
TGIF1	1.5824442
TRIM16L	1.5757408
TRIM16	1.5757408
C5orf30	1.562603
KLF4	1.5582485
STK17A	1.5544901
JOSD1	1.5513325
AL390755.2	1.5504589
AC243965.2	1.5504475
ZNF469	1.5406971
ERRFI1	1.5402107
HRH1	1.5374031
RORA	1.5274315
MOB3C	1.5223427
NAMPTP1	1.5139418
CPEB2	1.5070686
TNFSF9	1.5047369
TRIB1	1.4807739
KLF6	1.4745579
HSPA1A	1.4700108
ZBTB21	1.4548197
UPP1	1.4530029
AP000873.4	1.4451141
KLF2	1.4247742
AKR1C3	1.4240246
FAM110C	1.4186821
AP003733.4	1.407032
ARG2	1.4016724
AC124016.1	1.3869905
SIPA1L2	1.3848715
PLAT	1.3742161
ZFP36	1.3726273
AL139393.3	1.3642998
MKNK1	1.3556957
IRAK2	1.3539133
UBE2FP1	1.3521214
SOWAHC	1.3506193
THBD	1.3379498
AL162742.2	1.3361397
LINC00520	1.3352098
SERPINB5	1.3200521
GPATCH2L	1.3159885
MIR221	1.314723
MIR222HG	1.314723
ATP6V1FNB	1.297287
